0.327000,2.031000,0.508333,
0.355000,1.491000,0.419339,
0.363000,1.559000,0.410621,
0.327000,1.412000,0.387682,
0.321000,1.154000,0.408810,
0.314000,1.803000,0.434301,
0.217000,0.959000,0.329989,
0.254000,1.460000,0.307760,
0.272000,2.101000,0.309314,
0.319000,1.331000,0.359933,
0.344000,2.406000,0.428042,
0.236000,1.178000,0.311430,
0.188000,1.405000,0.288284,
0.284000,1.444000,0.315512,
0.321000,1.368000,0.368226,
0.305000,1.866000,0.458948,
0.209000,0.971000,0.361318,
0.332000,1.358000,0.371136,
0.346000,1.298000,0.385407,
0.298000,0.841000,0.335445,
0.346000,2.113000,0.437929,
0.238000,1.812000,0.318156,
0.188000,1.351000,0.292465,
0.307000,2.033000,0.339796,
0.292000,0.899000,0.325636,
